product_id,customer_id,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,postcode,state,property_valuation
33,3297,0,1,4,0,0,2,1311.44,1167.18,39,9,4,3,0,0,13,3213,0,6
84,2434,0,1,1,1,0,0,290.62,215.14,40,54,7,0,0,0,18,4207,2,4
1,1861,1,1,4,0,0,0,1403.5,954.82,26,55,4,3,0,1,8,2770,1,7
27,1233,1,1,1,0,0,0,499.53,388.72,17,4,2,0,0,1,16,2085,1,11
31,1390,1,1,5,0,0,0,752.64,205.36,74,56,2,2,0,1,1,3082,0,7
0,2682,0,1,2,1,2,1,12.01,7.21,54,57,4,2,0,1,20,4740,2,5
62,439,0,1,0,0,0,0,478.16,298.72,26,58,7,0,0,0,10,3806,0,8
17,1579,0,1,0,0,2,0,1024.66,614.8,40,2,0,0,0,1,17,2101,1,10
73,2984,0,1,0,0,0,0,1945.43,333.18,48,59,4,3,0,1,13,2106,1,11
33,3470,0,1,4,0,0,2,1311.44,1167.18,56,60,1,0,0,1,6,3121,0,11
86,1,1,1,2,0,0,0,235.63,125.07,93,8,1,3,0,1,11,2016,4,10
45,757,1,1,0,0,0,0,441.49,84.99,91,61,0,3,0,0,18,4019,2,8
1,1778,1,1,4,0,0,0,1403.5,954.82,72,62,7,3,0,1,2,3930,0,9
80,211,0,1,2,3,1,0,1073.07,933.84,6,19,4,3,0,1,5,2159,1,10
49,333,3,1,1,1,0,0,533.51,400.13,25,63,0,0,0,1,8,4213,2,5
95,32,1,1,4,0,0,1,569.56,528.43,17,39,4,0,0,0,4,2756,4,9
0,119,1,1,0,0,0,0,478.16,298.72,9,41,7,2,0,1,9,3070,0,7
18,2347,1,1,3,0,2,0,1148.64,689.18,79,64,7,2,0,0,11,2049,1,12
4,2353,1,1,4,0,2,0,1129.13,677.48,93,65,1,0,0,1,12,2262,1,6
33,788,1,1,4,0,0,2,1311.44,1167.18,62,66,1,3,0,0,11,2141,1,9
78,1468,1,1,4,0,0,1,1765.3,709.48,37,67,0,3,0,0,22,2519,1,9
89,821,1,1,5,3,0,1,1362.99,57.74,41,68,0,3,0,1,7,2530,1,8
70,2489,1,1,1,0,2,0,495.72,297.43,42,69,2,3,0,0,15,2102,1,9
79,2710,1,1,3,0,0,0,1555.58,818.01,77,4,2,3,0,0,2,4660,2,3
26,947,0,1,5,0,0,0,1992.93,762.63,43,16,1,3,0,0,10,3021,0,7
39,1335,0,1,4,0,0,1,1812.75,582.48,57,4,5,3,0,1,3,3977,0,5
36,1076,1,1,0,0,1,0,945.04,507.58,33,16,1,0,0,0,2,2515,1,9
0,3320,0,1,2,0,1,0,71.16,56.93,16,36,4,2,0,0,6,3109,0,10
84,779,1,1,4,1,0,0,792.9,594.68,1,62,1,2,0,0,7,2093,1,9
98,3296,0,1,1,0,2,0,358.39,215.03,78,7,0,0,0,1,17,2154,1,11
75,455,0,1,4,3,0,1,1873.97,863.95,97,70,4,3,0,1,5,2233,1,10
76,1779,1,1,5,0,1,0,642.31,513.85,55,71,8,0,0,0,5,3141,0,7
72,2703,0,1,3,0,0,0,360.4,270.3,37,4,4,0,0,1,18,2779,1,7
42,806,1,1,2,1,0,2,1810,1610.9,66,10,2,3,0,1,7,2767,1,9
64,1591,1,1,1,0,0,1,1469.44,596.55,4,72,4,3,0,1,14,2073,1,12
0,678,1,1,1,0,2,0,495.72,297.43,57,73,6,2,0,0,2,4352,2,7
25,50,1,1,4,1,0,0,1538.99,829.65,38,46,4,3,0,1,16,2047,4,10
24,1038,0,1,0,1,0,1,1777.8,820.78,57,74,4,3,0,1,0,3809,0,6
31,1453,0,1,5,0,0,0,752.64,205.36,54,75,1,2,0,0,13,2567,1,8
98,1339,1,1,2,0,0,0,795.34,101.58,82,76,6,2,0,0,14,3805,0,8
22,3382,0,1,0,0,0,0,575.27,431.45,90,40,7,2,0,0,10,3129,0,10
53,773,1,1,2,0,0,0,795.34,101.58,77,4,0,0,0,1,20,4305,2,3
84,2503,0,1,1,1,0,0,290.62,215.14,80,77,1,0,0,1,10,2760,1,7
25,1057,1,1,4,1,0,0,1538.99,829.65,73,12,1,3,0,0,5,2065,1,12
50,1397,1,1,5,0,0,2,175.89,131.92,29,39,4,3,0,1,14,3061,0,5
44,2134,1,1,5,0,0,0,1769.64,108.76,16,48,4,0,0,0,2,3175,0,3
96,2403,0,1,5,1,1,2,1172.78,1043.77,41,26,0,0,0,0,12,2190,1,10
12,1937,1,1,5,0,0,0,1231.15,161.6,69,7,1,3,0,0,19,2619,1,3
93,1282,0,1,5,0,0,0,1065.03,230.09,99,78,5,0,0,1,14,4340,2,5
78,2183,1,1,4,0,0,1,1765.3,709.48,61,79,4,3,0,1,7,4132,2,4
84,1788,1,1,4,1,0,0,792.9,594.68,79,80,0,2,0,1,10,2380,1,5
65,1170,0,1,5,0,0,0,1807.45,778.69,62,23,6,3,0,1,4,4064,2,9
0,431,1,1,6,4,3,3,1942.61,0,8,81,1,0,0,1,18,4173,2,7
29,1940,1,1,5,0,0,0,1065.03,230.09,52,82,4,2,0,1,8,4226,2,6
32,2073,1,0,4,0,2,0,1179,707.4,87,4,4,2,0,1,10,3175,0,8
11,462,1,1,4,0,2,0,1274.93,764.96,32,4,4,0,0,1,5,2259,1,6
10,2728,1,1,0,0,0,0,1945.43,333.18,55,83,6,2,0,0,19,3188,0,11
46,2053,1,1,0,0,1,0,1289.85,74.51,7,4,0,0,0,1,11,4551,2,7
60,2135,0,1,4,0,2,2,1977.36,1759.85,97,84,7,3,0,1,15,2063,1,12
92,1217,1,1,5,3,0,1,1890.39,260.14,67,84,4,2,0,0,16,2580,1,4
7,2992,0,1,1,1,1,0,980.37,234.43,26,1,1,3,0,1,10,3429,0,5
41,3261,0,1,0,1,0,0,416.98,312.74,6,4,3,3,0,1,5,2745,1,8
67,2748,0,1,3,1,0,0,544.05,376.84,96,7,0,3,0,0,4,2260,1,11
14,3262,1,1,1,0,0,2,1386.84,1234.29,65,9,5,3,0,0,12,4221,2,8
89,788,1,1,5,3,0,1,1362.99,57.74,62,66,1,3,0,0,11,2141,1,9
9,3067,0,1,2,1,0,0,742.54,667.4,8,85,4,3,0,1,9,3806,0,6
31,701,1,1,4,0,0,0,230.91,173.18,18,6,1,3,0,1,8,4562,2,5
92,648,1,1,5,0,0,2,1415.01,1259.36,86,86,0,3,0,1,9,4551,2,7
37,3286,0,1,2,0,1,0,1793.43,248.82,23,31,5,3,0,0,20,3977,0,7
3,3383,0,1,1,0,0,1,2091.47,388.92,47,68,0,0,0,1,10,3786,0,8
56,982,0,1,3,2,1,2,688.63,612.88,14,87,1,2,0,1,6,2250,1,6
14,676,0,1,0,0,2,1,1842.92,1105.75,51,88,7,2,0,1,14,2194,1,8
6,385,0,1,0,0,2,0,748.17,448.9,69,89,1,2,0,0,9,2170,1,9
50,1229,0,1,5,0,0,2,175.89,131.92,38,58,4,0,0,1,1,2119,1,11
10,3232,1,1,5,3,0,0,1466.68,363.25,7,59,0,3,0,1,9,3070,0,10
0,3300,1,1,6,4,3,3,1656.86,0,47,8,2,3,0,0,14,2176,1,9
69,2381,1,1,4,1,0,0,792.9,594.68,91,90,8,0,0,1,5,2015,1,9
78,371,1,1,4,0,0,1,1765.3,709.48,7,91,0,3,0,0,7,3215,0,4
80,2519,0,1,2,3,1,0,1073.07,933.84,76,92,4,3,0,1,5,4825,2,2
17,2264,1,1,0,0,2,0,1024.66,614.8,18,24,1,0,0,0,9,3977,0,6
3,2637,0,1,1,0,0,1,2091.47,388.92,28,21,2,3,0,1,11,2100,1,10
78,3262,1,1,4,0,0,1,1765.3,709.48,65,9,5,3,0,0,12,4221,2,8
90,3177,3,1,3,0,1,0,363.01,290.41,93,93,7,0,0,0,6,2085,1,10
87,2267,1,1,4,0,2,0,1179,707.4,78,40,7,0,0,0,14,4171,2,10
97,456,1,1,0,0,0,1,202.62,151.96,47,94,4,0,0,1,17,2145,1,7
6,404,3,1,2,0,2,0,227.88,136.73,92,95,0,0,0,1,4,2536,1,4
100,3121,1,1,3,1,0,0,1036.59,206.35,82,96,4,3,0,0,19,2304,1,7
55,2365,0,1,1,1,0,1,1894.19,598.76,2,32,8,3,0,1,3,4127,2,6
100,2528,1,1,3,1,0,0,1036.59,206.35,81,88,0,0,0,0,15,4161,2,7
10,3151,1,1,5,3,0,0,1466.68,363.25,20,92,6,0,0,1,0,4055,2,8
25,3241,1,1,4,1,0,0,1538.99,829.65,34,97,4,3,0,1,16,4011,2,7
74,1335,0,1,5,0,0,0,1228.07,400.91,57,4,5,3,0,1,3,3977,0,5
90,2234,1,1,3,0,1,0,363.01,290.41,48,98,4,3,0,0,18,2069,1,12
56,3226,0,1,2,0,0,0,183.86,137.9,43,4,5,0,0,0,11,3977,0,7
62,1365,1,1,0,0,0,0,478.16,298.72,97,99,1,3,0,0,3,3222,0,5
20,3349,0,1,1,0,0,2,1775.81,1580.47,11,100,8,0,0,0,9,3196,0,9
17,1002,1,1,0,0,2,0,1024.66,614.8,65,40,7,3,0,1,18,3127,0,12
16,2282,1,1,3,0,2,2,1661.92,1479.11,81,101,0,0,0,1,7,3630,0,4
46,2656,1,1,0,0,1,0,1289.85,74.51,80,29,7,3,0,1,10,3070,0,10
71,2409,0,1,0,0,2,1,1842.92,1105.75,23,4,1,3,0,0,12,2560,1,8
91,1711,1,1,5,0,1,0,642.31,513.85,81,4,4,2,0,1,7,4133,2,5
17,2582,0,1,0,0,2,0,1024.66,614.8,98,100,1,3,0,0,7,4216,2,7
1,1005,0,1,4,3,0,1,1873.97,863.95,94,102,6,2,0,1,8,2165,1,9
3,1597,0,1,1,0,0,1,2091.47,388.92,93,103,2,0,0,0,14,2224,1,10
56,2713,0,1,2,0,0,0,183.86,137.9,55,25,2,0,0,1,5,2049,1,11
37,1435,0,1,2,0,1,0,1793.43,248.82,96,104,9,0,0,1,19,2756,1,8
34,1477,0,1,3,1,2,1,774.53,464.72,42,105,0,3,0,1,0,2440,1,3
0,1614,0,1,4,0,0,0,230.91,173.18,2,4,7,2,0,0,8,2261,1,6
12,1254,0,1,5,0,0,0,1231.15,161.6,60,106,2,3,0,1,5,4701,2,1
25,1423,1,1,4,1,0,0,1538.99,829.65,51,89,4,3,0,0,19,2762,1,9
81,276,1,1,3,0,0,2,586.45,521.94,47,4,0,3,0,0,22,3125,0,8
19,1315,0,1,2,1,2,1,12.01,7.21,46,4,6,3,0,1,12,3931,0,10
45,591,0,1,0,0,0,0,441.49,84.99,16,40,5,0,0,0,16,2133,1,11
74,1017,1,1,5,0,0,0,1762.96,950.52,88,31,5,2,0,0,16,2027,1,11
33,2123,1,1,4,0,0,2,1311.44,1167.18,36,104,4,0,0,0,2,4160,2,10
57,2889,0,1,5,3,0,1,1890.39,260.14,55,23,7,3,0,1,8,3064,0,5
0,3208,0,1,1,1,0,0,533.51,400.13,53,19,7,2,0,0,15,3620,0,2
23,2406,0,1,3,2,1,2,688.63,612.88,34,8,7,0,0,1,9,4879,2,6
67,2041,1,1,3,1,0,0,544.05,376.84,52,107,0,3,0,0,17,2009,1,9
81,1598,0,1,3,0,0,2,586.45,521.94,87,44,7,3,0,0,11,2032,1,11
58,1842,0,1,2,0,0,0,912.52,141.4,89,15,0,3,0,0,8,2250,1,8
5,141,1,1,4,0,2,0,1129.13,677.48,67,82,0,2,0,1,10,2097,4,11
94,1321,1,1,4,0,0,1,1635.3,993.66,29,76,8,0,0,0,8,4370,2,6
51,183,1,1,2,0,2,0,2005.66,1203.4,7,87,2,0,0,0,3,2074,1,10
59,2591,1,1,5,0,0,2,1415.01,1259.36,50,4,2,2,0,0,13,2021,1,12
63,3356,0,1,0,0,0,0,1483.2,99.59,47,30,0,3,0,1,6,3121,0,8
40,766,0,1,2,0,2,0,1458.17,874.9,16,4,2,3,0,1,14,2164,1,8
80,1596,1,1,1,0,0,1,1469.44,596.55,2,52,0,2,0,1,8,2086,1,12
82,520,1,1,3,0,2,0,1148.64,689.18,66,108,0,0,0,1,15,2211,1,9
46,868,0,1,0,0,1,0,1289.85,74.51,84,107,0,3,0,1,11,2768,1,10
78,2999,1,1,4,0,0,1,1765.3,709.48,28,40,6,0,0,1,0,3023,0,8
72,352,0,1,3,0,0,0,360.4,270.3,12,10,2,3,0,0,4,4350,2,6
75,1140,1,1,4,3,0,1,1873.97,863.95,32,8,7,3,0,1,13,2206,1,10
40,621,1,1,1,1,0,1,1894.19,598.76,78,91,7,2,0,0,14,2763,1,7
2,3307,1,1,4,1,1,2,590.26,525.33,96,50,1,2,0,0,14,4740,2,2
10,1502,0,1,5,3,0,0,1466.68,363.25,52,102,0,0,0,1,11,2450,1,4
35,936,1,1,4,0,0,0,1403.5,954.82,64,69,1,2,0,0,3,3400,0,2
8,939,0,1,0,1,0,2,1703.52,1516.13,53,9,4,3,0,0,6,2233,1,9
2,2698,1,1,4,1,1,2,590.26,525.33,19,33,1,2,0,0,20,2166,1,8
69,579,0,1,4,1,0,0,792.9,594.68,89,104,1,3,0,0,12,2097,1,10
54,2036,0,1,5,0,0,0,1292.84,13.44,11,4,7,3,0,0,17,2233,1,10
8,3077,1,1,0,1,0,2,1703.52,1516.13,19,71,4,0,0,0,2,2099,1,10
86,369,0,1,2,0,0,0,235.63,125.07,19,105,0,3,0,1,9,3130,0,10
13,821,0,1,0,0,0,0,1163.89,589.27,41,68,0,3,0,1,7,2530,1,8
19,2687,0,1,1,2,1,0,574.64,459.71,67,109,4,2,0,1,20,2208,1,10
86,681,0,1,2,0,0,0,235.63,125.07,55,47,4,3,0,1,17,2147,1,9
46,37,0,1,2,0,1,0,1793.43,248.82,46,66,1,2,0,0,16,4726,2,1
30,3002,1,1,0,0,2,0,748.17,448.9,62,17,0,3,0,1,16,2470,1,2
92,396,1,1,5,3,0,1,1890.39,260.14,98,91,9,2,0,1,16,2076,1,11
71,550,0,1,0,0,2,1,1842.92,1105.75,16,4,2,3,0,0,15,3168,3,6
77,1605,1,1,3,1,0,1,1240.31,795.1,72,4,7,0,0,0,9,3219,0,3
7,2325,0,1,4,0,0,2,1311.44,1167.18,50,93,2,2,0,1,12,3023,0,8
23,1420,0,1,3,2,1,2,688.63,612.88,14,110,1,3,0,0,11,2767,1,8
12,3099,1,1,5,0,0,0,1231.15,161.6,73,4,2,3,0,1,3,4870,2,7
61,1645,0,1,2,0,1,0,71.16,56.93,34,99,7,0,0,1,5,2154,1,11
21,546,1,1,0,0,0,1,1071.23,380.74,80,71,1,3,0,1,12,2340,1,2
86,2885,0,1,2,0,0,0,235.63,125.07,70,111,0,3,0,1,4,2761,1,8
57,2740,1,1,5,3,0,1,1890.39,260.14,61,33,0,0,0,1,12,2226,1,7
63,3166,0,1,0,0,0,0,1483.2,99.59,96,66,1,3,0,0,20,2017,1,8
63,3487,0,1,5,0,0,0,1992.93,762.63,4,50,1,2,0,0,18,3146,0,9
33,2890,0,1,4,0,0,2,1311.44,1167.18,64,69,7,0,0,1,20,2018,1,11
98,3370,1,1,2,0,0,0,795.34,101.58,8,96,7,2,0,1,5,2076,1,12
15,3393,0,1,3,0,1,0,958.74,748.9,23,26,2,3,0,1,7,2093,1,12
57,2410,1,1,5,3,0,1,1890.39,260.14,75,55,4,3,0,1,21,3181,0,11
61,3466,0,1,2,0,1,0,71.16,56.93,65,34,6,3,0,0,18,3079,0,11
48,1454,1,0,5,0,0,0,1762.96,950.52,4,83,8,3,0,1,3,2567,1,9
63,1967,3,1,0,0,0,0,1483.2,99.59,88,109,4,0,0,1,17,2043,1,9
78,3089,1,1,4,0,0,1,1765.3,709.48,27,112,4,0,0,1,2,4504,2,7
2,3123,1,1,4,1,1,2,590.26,525.33,71,110,1,2,0,0,20,2195,1,6
67,2692,1,1,0,0,0,1,1071.23,380.74,57,99,1,2,0,1,22,3020,0,7
67,2801,0,0,3,1,0,0,544.05,376.84,15,4,1,3,0,0,10,3212,0,3
13,1580,0,1,0,0,0,0,1577.53,826.51,23,41,2,2,0,0,5,4227,2,3
65,352,1,1,5,0,0,0,1807.45,778.69,12,10,2,3,0,0,4,4350,2,6
49,1777,0,1,1,1,0,0,533.51,400.13,47,10,2,0,0,0,1,2118,1,11
87,142,0,1,4,0,2,0,1179,707.4,57,7,1,0,0,0,17,3058,0,9
31,3393,1,1,4,0,0,0,230.91,173.18,23,26,2,3,0,1,7,2093,1,12
17,599,1,1,0,0,2,0,1024.66,614.8,48,101,0,3,0,1,0,3068,3,8
91,1258,1,1,0,0,0,0,100.35,75.26,89,55,4,3,0,0,6,4720,2,1
53,3405,0,1,2,0,0,0,795.34,101.58,89,89,0,3,0,1,3,4014,2,6
38,3198,1,1,0,0,0,0,1577.53,826.51,66,113,4,3,0,1,1,3796,0,8
20,834,1,1,1,0,0,2,1775.81,1580.47,37,61,0,3,0,0,3,3199,0,7
44,3467,0,1,5,0,0,0,1769.64,108.76,31,108,6,3,0,0,21,4350,2,6
69,3436,0,1,4,1,0,0,792.9,594.68,4,4,0,3,0,1,5,2153,1,10
68,1516,1,1,2,0,0,0,1636.9,44.71,6,114,6,0,0,0,19,2210,1,10
11,2833,0,1,4,0,2,0,1274.93,764.96,60,4,6,3,0,1,3,2650,1,4
2,2362,1,1,0,0,0,0,71.49,53.62,49,115,0,0,0,1,19,2176,1,9
27,2337,1,1,1,0,0,0,499.53,388.72,47,116,1,3,0,0,1,2477,1,6
0,2149,0,1,1,0,2,0,358.39,215.03,26,22,7,2,0,0,6,2210,1,10
81,2133,1,1,0,0,0,0,1151.96,649.49,44,38,0,2,0,0,3,2880,1,1
6,360,0,1,2,0,2,0,227.88,136.73,64,3,3,3,0,1,19,2530,1,7
76,2969,0,1,5,0,1,0,642.31,513.85,12,93,7,3,0,1,6,2763,1,9
18,1720,1,1,0,0,0,0,575.27,431.45,96,13,0,3,0,1,13,3040,0,11
18,2904,1,1,3,0,2,0,1148.64,689.18,26,117,4,2,0,1,11,2211,1,9
9,754,1,1,2,1,0,0,742.54,667.4,15,101,0,3,0,0,14,3850,0,4
35,1826,1,1,4,0,0,0,1403.5,954.82,33,109,4,2,0,1,7,2119,1,11
93,2487,1,1,5,0,0,0,1065.03,230.09,92,72,6,0,0,1,14,3806,0,7
40,2815,1,1,2,0,2,0,1458.17,874.9,50,4,1,3,0,0,19,3029,0,5
1,541,1,1,4,0,0,0,1403.5,954.82,23,4,4,0,0,1,13,3130,3,10
16,302,1,1,3,0,2,2,1661.92,1479.11,32,4,1,3,0,0,13,4506,2,7
44,2024,0,1,5,0,0,0,1769.64,108.76,69,114,6,3,0,1,2,4306,2,3
48,142,0,1,5,0,0,0,1762.96,950.52,57,7,1,0,0,0,17,3058,0,9
56,768,0,1,2,0,0,0,183.86,137.9,5,118,8,0,0,1,21,2759,1,9
36,2147,0,1,0,0,1,0,1289.85,74.51,42,119,7,2,0,1,1,2148,1,8
36,529,0,1,0,0,1,0,945.04,507.58,18,72,2,0,0,1,10,2160,1,9
13,825,1,1,0,0,0,0,1163.89,589.27,17,45,7,0,0,1,16,2066,1,12
55,624,0,1,1,1,0,1,1894.19,598.76,44,11,4,3,0,1,13,2168,1,8
38,2302,1,1,0,0,0,0,1577.53,826.51,43,120,2,3,0,1,4,3804,0,8
64,3380,1,1,4,0,2,2,1977.36,1759.85,41,69,4,2,0,1,14,3977,0,5
0,314,1,1,2,0,2,0,227.88,136.73,27,34,2,2,0,1,5,3064,0,3
79,1079,0,1,3,0,0,0,1555.58,818.01,70,103,4,3,0,0,18,2064,1,9
11,1643,0,1,4,0,2,0,1274.93,764.96,13,4,2,3,0,0,19,2047,1,10
91,1524,0,1,0,0,0,0,100.35,75.26,7,33,0,3,0,1,16,2760,1,8
18,3205,0,1,0,0,0,0,575.27,431.45,35,46,7,3,0,0,20,2153,1,10
17,2860,0,1,0,0,2,0,1024.66,614.8,13,83,7,3,0,0,1,2564,1,7
